City,Season Start,Season End,Month,Day,Match Number,Team 1,Team 2,Venue,Toss Winner,Toss Decision,Super Over,Winning Team,Won By,Margin,Method,Player of Match,Team 1 Players,Team 2 Players,Umpire 1,Umpire 2
Ahmedabad,2022,2022,May,Sunday,Final,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,bat,N,Gujarat Titans,Wickets,7.0,NA,HH Pandya,"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Ashwin', 'R Parag', 'TA Boult', 'OC McCoy', 'M Prasidh Krishna', 'YS Chahal']","['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'LH Ferguson', 'Yash Dayal', 'Mohammed Shami']",CB Gaffaney,Nitin Menon
Ahmedabad,2022,2022,May,Friday,Qualifier 2,Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,field,N,Rajasthan Royals,Wickets,7.0,NA,JC Buttler,"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'MK Lomror', 'KD Karthik', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'JR Hazlewood', 'Mohammed Siraj']","['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna', 'OC McCoy']",CB Gaffaney,Nitin Menon
Kolkata,2022,2022,May,Wednesday,Eliminator,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata",Lucknow Super Giants,field,N,Royal Challengers Bangalore,Runs,14.0,NA,RM Patidar,"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'MK Lomror', 'KD Karthik', 'Shahbaz Ahmed', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'Mohammed Siraj']","['Q de Kock', 'KL Rahul', 'M Vohra', 'DJ Hooda', 'MP Stoinis', 'E Lewis', 'KH Pandya', 'PVD Chameera', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']",J Madanagopal,MA Gough
Kolkata,2022,2022,May,Tuesday,Qualifier 1,Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans,field,N,Gujarat Titans,Wickets,7.0,NA,DA Miller,"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna', 'OC McCoy']","['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']",BNJ Oxenford,VK Sharma
Mumbai,2022,2022,May,Sunday,70,Sunrisers Hyderabad,Punjab Kings,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,bat,N,Punjab Kings,Wickets,5.0,NA,Harpreet Brar,"['PK Garg', 'Abhishek Sharma', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'R Shepherd', 'J Suchith', 'B Kumar', 'Umran Malik', 'Fazalhaq Farooqi']","['JM Bairstow', 'S Dhawan', 'M Shahrukh Khan', 'MA Agarwal', 'LS Livingstone', 'JM Sharma', 'PN Mankad', 'Harpreet Brar', 'K Rabada', 'NT Ellis', 'Arshdeep Singh']",AK Chaudhary,NA Patwardhan
Mumbai,2022,2022,May,Saturday,69,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5.0,NA,JJ Bumrah,"['PP Shaw', 'DA Warner', 'MR Marsh', 'RR Pant', 'SN Khan', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']","['Ishan Kishan', 'RG Sharma', 'D Brevis', 'Tilak Varma', 'TH David', 'Ramandeep Singh', 'DR Sams', 'HR Shokeen', 'JJ Bumrah', 'M Markande', 'RP Meredith']",Nitin Menon,Tapan Sharma
Mumbai,2022,2022,May,Friday,68,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",Chennai Super Kings,bat,N,Rajasthan Royals,Wickets,5.0,NA,R Ashwin,"['RD Gaikwad', 'DP Conway', 'MM Ali', 'N Jagadeesan', 'AT Rayudu', 'MS Dhoni', 'MJ Santner', 'Simarjeet Singh', 'Mukesh Choudhary', 'PH Solanki', 'M Pathirana']","['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'R Ashwin', 'SO Hetmyer', 'R Parag', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna', 'OC McCoy']",CB Gaffaney,NA Patwardhan
Mumbai,2022,2022,May,Thursday,67,Gujarat Titans,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Gujarat Titans,bat,N,Royal Challengers Bangalore,Wickets,8.0,NA,V Kohli,"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'LH Ferguson', 'Yash Dayal', 'Mohammed Shami']","['V Kohli', 'F du Plessis', 'GJ Maxwell', 'KD Karthik', 'RM Patidar', 'MK Lomror', 'Shahbaz Ahmed', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'S Kaul']",KN Ananthapadmanabhan,GR Sadashiv Iyer
Navi Mumbai,2022,2022,May,Wednesday,66,Lucknow Super Giants,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,bat,N,Lucknow Super Giants,Runs,2.0,NA,Q de Kock,"['Q de Kock', 'KL Rahul', 'E Lewis', 'DJ Hooda', 'M Vohra', 'MP Stoinis', 'JO Holder', 'K Gowtham', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']","['VR Iyer', 'A Tomar', 'N Rana', 'SS Iyer', 'SW Billings', 'AD Russell', 'RK Singh', 'SP Narine', 'UT Yadav', 'TG Southee', 'CV Varun']",R Pandit,YC Barde
Mumbai,2022,2022,May,Tuesday,65,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Sunrisers Hyderabad,Runs,3.0,NA,RA Tripathi,"['Abhishek Sharma', 'PK Garg', 'RA Tripathi', 'N Pooran', 'AK Markram', 'KS Williamson', 'Washington Sundar', 'B Kumar', 'Umran Malik', 'T Natarajan', 'Fazalhaq Farooqi']","['RG Sharma', 'Ishan Kishan', 'DR Sams', 'Tilak Varma', 'TH David', 'T Stubbs', 'Ramandeep Singh', 'R Sanjay Yadav', 'JJ Bumrah', 'M Markande', 'RP Meredith']",CB Gaffaney,N Pandit
Navi Mumbai,2022,2022,May,Monday,64,Delhi Capitals,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,N,Delhi Capitals,Runs,17.0,NA,SN Thakur,"['DA Warner', 'SN Khan', 'MR Marsh', 'Lalit Yadav', 'RR Pant', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']","['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'Harpreet Brar', 'R Dhawan', 'RD Chahar', 'K Rabada', 'Arshdeep Singh']",GR Sadashiv Iyer,Nitin Menon
Mumbai,2022,2022,May,Sunday,63,Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Rajasthan Royals,bat,N,Rajasthan Royals,Runs,24.0,NA,TA Boult,"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'R Parag', 'JDS Neesham', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'OC McCoy']","['Q de Kock', 'KL Rahul', 'A Badoni', 'DJ Hooda', 'KH Pandya', 'MP Stoinis', 'JO Holder', 'PVD Chameera', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']",PG Pathak,Tapan Sharma
Mumbai,2022,2022,May,Sunday,62,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,N,Gujarat Titans,Wickets,7.0,NA,WP Saha,"['RD Gaikwad', 'DP Conway', 'MM Ali', 'N Jagadeesan', 'S Dube', 'MS Dhoni', 'MJ Santner', 'PH Solanki', 'Simarjeet Singh', 'M Pathirana', 'Mukesh Choudhary']","['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']",R Pandit,VK Sharma
Pune,2022,2022,May,Saturday,61,Kolkata Knight Riders,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bat,N,Kolkata Knight Riders,Runs,54.0,NA,AD Russell,"['VR Iyer', 'AM Rahane', 'N Rana', 'SS Iyer', 'SW Billings', 'RK Singh', 'AD Russell', 'SP Narine', 'UT Yadav', 'TG Southee', 'CV Varun']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'Shashank Singh', 'M Jansen', 'B Kumar', 'Umran Malik', 'T Natarajan']",AK Chaudhary,KN Ananthapadmanabhan
Mumbai,2022,2022,May,Friday,60,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,field,N,Punjab Kings,Runs,54.0,NA,JM Bairstow,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'Harpreet Brar', 'R Dhawan', 'RD Chahar', 'K Rabada', 'Arshdeep Singh']","['V Kohli', 'F du Plessis', 'RM Patidar', 'MK Lomror', 'GJ Maxwell', 'KD Karthik', 'Shahbaz Ahmed', 'HV Patel', 'PWH de Silva', 'Mohammed Siraj', 'JR Hazlewood']",J Madanagopal,N Pandit
Mumbai,2022,2022,May,Thursday,59,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5.0,NA,DR Sams,"['RD Gaikwad', 'DP Conway', 'MM Ali', 'RV Uthappa', 'AT Rayudu', 'MS Dhoni', 'S Dube', 'DJ Bravo', 'Simarjeet Singh', 'M Theekshana', 'Mukesh Choudhary']","['Ishan Kishan', 'RG Sharma', 'DR Sams', 'Tilak Varma', 'T Stubbs', 'HR Shokeen', 'TH David', 'Ramandeep Singh', 'JJ Bumrah', 'RP Meredith', 'K Kartikeya']",Chirra Ravikanthreddy,CB Gaffaney
Navi Mumbai,2022,2022,May,Wednesday,58,Rajasthan Royals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,8.0,NA,MR Marsh,"['YBK Jaiswal', 'JC Buttler', 'R Ashwin', 'D Padikkal', 'SV Samson', 'R Parag', 'HE van der Dussen', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['KS Bharat', 'DA Warner', 'MR Marsh', 'RR Pant', 'R Powell', 'Lalit Yadav', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'C Sakariya']",NA Patwardhan,Nitin Menon
Pune,2022,2022,May,Tuesday,57,Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,bat,N,Gujarat Titans,Runs,62.0,NA,Shubman Gill,"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']","['Q de Kock', 'KL Rahul', 'DJ Hooda', 'KS Sharma', 'KH Pandya', 'A Badoni', 'MP Stoinis', 'JO Holder', 'Mohsin Khan', 'PVD Chameera', 'Avesh Khan']",KN Ananthapadmanabhan,MA Gough
Navi Mumbai,2022,2022,May,Monday,56,Kolkata Knight Riders,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Kolkata Knight Riders,Runs,52.0,NA,JJ Bumrah,"['VR Iyer', 'AM Rahane', 'N Rana', 'SS Iyer', 'AD Russell', 'RK Singh', 'SP Jackson', 'PJ Cummins', 'SP Narine', 'TG Southee', 'CV Varun']","['RG Sharma', 'Ishan Kishan', 'Tilak Varma', 'Ramandeep Singh', 'TH David', 'KA Pollard', 'DR Sams', 'M Ashwin', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']",CB Gaffaney,GR Sadashiv Iyer
Navi Mumbai,2022,2022,May,Sunday,55,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,N,Chennai Super Kings,Runs,91.0,NA,DP Conway,"['RD Gaikwad', 'DP Conway', 'S Dube', 'AT Rayudu', 'MS Dhoni', 'MM Ali', 'RV Uthappa', 'DJ Bravo', 'Simarjeet Singh', 'M Theekshana', 'Mukesh Choudhary']","['DA Warner', 'KS Bharat', 'MR Marsh', 'RR Pant', 'R Powell', 'RV Patel', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']",Nitin Menon,R Pandit
Mumbai,2022,2022,May,Sunday,54,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,N,Royal Challengers Bangalore,Runs,67.0,NA,PWH de Silva,"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'KD Karthik', 'MK Lomror', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'JR Hazlewood', 'Mohammed Siraj']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'J Suchith', 'Shashank Singh', 'Kartik Tyagi', 'B Kumar', 'Umran Malik', 'Fazalhaq Farooqi']",BNJ Oxenford,N Pandit
Pune,2022,2022,May,Saturday,53,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,field,N,Lucknow Super Giants,Runs,75.0,NA,Avesh Khan,"['Q de Kock', 'KL Rahul', 'DJ Hooda', 'KH Pandya', 'A Badoni', 'MP Stoinis', 'JO Holder', 'PVD Chameera', 'Avesh Khan', 'Mohsin Khan', 'Ravi Bishnoi']","['B Indrajith', 'AJ Finch', 'SS Iyer', 'N Rana', 'RK Singh', 'AD Russell', 'SP Narine', 'AS Roy', 'Shivam Mavi', 'TG Southee', 'Harshit Rana']",AK Chaudhary,MA Gough
Mumbai,2022,2022,May,Saturday,52,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Punjab Kings,bat,N,Rajasthan Royals,Wickets,6.0,NA,YBK Jaiswal,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'MA Agarwal', 'JM Sharma', 'LS Livingstone', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']","['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']",Chirra Ravikanthreddy,YC Barde
Mumbai,2022,2022,May,Friday,51,Mumbai Indians,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans,field,N,Mumbai Indians,Runs,5.0,NA,TH David,"['Ishan Kishan', 'RG Sharma', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'M Ashwin', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']","['WP Saha', 'Shubman Gill', 'HH Pandya', 'B Sai Sudharsan', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'PJ Sangwan', 'LH Ferguson', 'AS Joseph', 'Mohammed Shami']",J Madanagopal,GR Sadashiv Iyer
Mumbai,2022,2022,May,Thursday,50,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,field,N,Delhi Capitals,Runs,21.0,NA,DA Warner,"['Mandeep Singh', 'DA Warner', 'MR Marsh', 'RR Pant', 'R Powell', 'Lalit Yadav', 'RV Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'SA Abbott', 'S Gopal', 'Kartik Tyagi', 'B Kumar', 'Umran Malik']",Navdeep Singh,NA Patwardhan
Pune,2022,2022,May,Wednesday,49,Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field,N,Royal Challengers Bangalore,Runs,13.0,NA,HV Patel,"['V Kohli', 'F du Plessis', 'GJ Maxwell', 'MK Lomror', 'RM Patidar', 'KD Karthik', 'PWH de Silva', 'Shahbaz Ahmed', 'HV Patel', 'Mohammed Siraj', 'JR Hazlewood']","['RD Gaikwad', 'DP Conway', 'RV Uthappa', 'AT Rayudu', 'MM Ali', 'RA Jadeja', 'MS Dhoni', 'D Pretorius', 'Simarjeet Singh', 'M Theekshana', 'Mukesh Choudhary']",KN Ananthapadmanabhan,MA Gough
Navi Mumbai,2022,2022,May,Tuesday,48,Gujarat Titans,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,bat,N,Punjab Kings,Wickets,8.0,NA,K Rabada,"['WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'PJ Sangwan', 'LH Ferguson', 'AS Joseph', 'Mohammed Shami']","['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']",R Pandit,VK Sharma
Mumbai,2022,2022,May,Monday,47,Rajasthan Royals,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,7.0,NA,RK Singh,"['JC Buttler', 'D Padikkal', 'SV Samson', 'KK Nair', 'R Parag', 'SO Hetmyer', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['B Indrajith', 'AJ Finch', 'SS Iyer', 'N Rana', 'RK Singh', 'AS Roy', 'AD Russell', 'SP Narine', 'UT Yadav', 'TG Southee', 'Shivam Mavi']",J Madanagopal,N Pandit
Pune,2022,2022,May,Sunday,46,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,N,Chennai Super Kings,Runs,13.0,NA,RD Gaikwad,"['RD Gaikwad', 'DP Conway', 'MS Dhoni', 'RA Jadeja', 'RV Uthappa', 'AT Rayudu', 'Simarjeet Singh', 'MJ Santner', 'D Pretorius', 'Mukesh Choudhary', 'M Theekshana']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'Washington Sundar', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']",AK Chaudhary,KN Ananthapadmanabhan
Mumbai,2022,2022,May,Sunday,45,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",Lucknow Super Giants,bat,N,Lucknow Super Giants,Runs,6.0,NA,Mohsin Khan,"['Q de Kock', 'KL Rahul', 'DJ Hooda', 'MP Stoinis', 'KH Pandya', 'A Badoni', 'JO Holder', 'Mohsin Khan', 'K Gowtham', 'PVD Chameera', 'Ravi Bishnoi']","['PP Shaw', 'DA Warner', 'MR Marsh', 'RR Pant', 'Lalit Yadav', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'Mustafizur Rahman', 'C Sakariya']",Chirra Ravikanthreddy,CB Gaffaney
Navi Mumbai,2022,2022,April,Saturday,44,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5.0,NA,SA Yadav,"['JC Buttler', 'D Padikkal', 'SV Samson', 'DJ Mitchell', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['RG Sharma', 'Ishan Kishan', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'HR Shokeen', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']",BNJ Oxenford,YC Barde
Mumbai,2022,2022,April,Saturday,43,Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,bat,N,Gujarat Titans,Wickets,6.0,NA,R Tewatia,"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'KD Karthik', 'Shahbaz Ahmed', 'MK Lomror', 'PWH de Silva', 'HV Patel', 'JR Hazlewood', 'Mohammed Siraj']","['WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'PJ Sangwan', 'AS Joseph', 'LH Ferguson', 'Mohammed Shami']",HAS Khalid,VK Sharma
Pune,2022,2022,April,Friday,42,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,field,N,Lucknow Super Giants,Runs,20.0,NA,KH Pandya,"['Q de Kock', 'KL Rahul', 'DJ Hooda', 'KH Pandya', 'MP Stoinis', 'A Badoni', 'JO Holder', 'PVD Chameera', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']","['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'PBB Rajapaksa', 'LS Livingstone', 'JM Sharma', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']",MA Gough,UV Gandhe
Mumbai,2022,2022,April,Thursday,41,Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,4.0,NA,Kuldeep Yadav,"['AJ Finch', 'VR Iyer', 'SS Iyer', 'B Indrajith', 'SP Narine', 'N Rana', 'AD Russell', 'RK Singh', 'UT Yadav', 'TG Southee', 'Harshit Rana']","['PP Shaw', 'DA Warner', 'MR Marsh', 'Lalit Yadav', 'RR Pant', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'Mustafizur Rahman', 'C Sakariya']",AK Chaudhary,PG Pathak
Mumbai,2022,2022,April,Wednesday,40,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,5.0,NA,Umran Malik,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'Shashank Singh', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']","['WP Saha', 'Shubman Gill', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'LH Ferguson', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']",CB Gaffaney,Navdeep Singh
Pune,2022,2022,April,Tuesday,39,Rajasthan Royals,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,field,N,Rajasthan Royals,Runs,29.0,NA,R Parag,"['JC Buttler', 'D Padikkal', 'R Ashwin', 'SV Samson', 'DJ Mitchell', 'R Parag', 'SO Hetmyer', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'Shahbaz Ahmed', 'SS Prabhudessai', 'KD Karthik', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'JR Hazlewood']",BNJ Oxenford,KN Ananthapadmanabhan
Mumbai,2022,2022,April,Monday,38,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,N,Punjab Kings,Runs,11.0,NA,S Dhawan,"['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'JM Bairstow', 'JM Sharma', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']","['RD Gaikwad', 'RV Uthappa', 'MJ Santner', 'S Dube', 'AT Rayudu', 'RA Jadeja', 'MS Dhoni', 'D Pretorius', 'DJ Bravo', 'Mukesh Choudhary', 'M Theekshana']",M Erasmus,Tapan Sharma
Mumbai,2022,2022,April,Sunday,37,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Lucknow Super Giants,Runs,36.0,NA,KL Rahul,"['Q de Kock', 'KL Rahul', 'MK Pandey', 'MP Stoinis', 'KH Pandya', 'DJ Hooda', 'A Badoni', 'JO Holder', 'PVD Chameera', 'Ravi Bishnoi', 'Mohsin Khan']","['Ishan Kishan', 'RG Sharma', 'D Brevis', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'DR Sams', 'JD Unadkat', 'HR Shokeen', 'JJ Bumrah', 'RP Meredith']",M Erasmus,HAS Khalid
Mumbai,2022,2022,April,Saturday,36,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,9.0,NA,M Jansen,"['F du Plessis', 'Anuj Rawat', 'V Kohli', 'GJ Maxwell', 'SS Prabhudessai', 'Shahbaz Ahmed', 'KD Karthik', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'Mohammed Siraj']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'J Suchith', 'B Kumar', 'M Jansen', 'T Natarajan', 'Umran Malik']",Chirra Ravikanthreddy,J Madanagopal
Navi Mumbai,2022,2022,April,Saturday,35,Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,bat,N,Gujarat Titans,Runs,8.0,NA,Rashid Khan,"['WP Saha', 'Shubman Gill', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'A Manohar', 'LH Ferguson', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']","['SW Billings', 'SP Narine', 'SS Iyer', 'N Rana', 'RK Singh', 'VR Iyer', 'AD Russell', 'Shivam Mavi', 'UT Yadav', 'TG Southee', 'CV Varun']",KN Ananthapadmanabhan,UV Gandhe
Mumbai,2022,2022,April,Friday,34,Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,N,Rajasthan Royals,Runs,15.0,NA,JC Buttler,"['JC Buttler', 'D Padikkal', 'SV Samson', 'SO Hetmyer', 'R Parag', 'KK Nair', 'R Ashwin', 'TA Boult', 'OC McCoy', 'M Prasidh Krishna', 'YS Chahal']","['PP Shaw', 'DA Warner', 'SN Khan', 'RR Pant', 'Lalit Yadav', 'AR Patel', 'SN Thakur', 'R Powell', 'Kuldeep Yadav', 'Mustafizur Rahman', 'KK Ahmed']",NA Patwardhan,Nitin Menon
