City,Season Start,Season End,Month,Day,Match Number,Team 1,Team 2,Venue,Toss Winner,Toss Decision,Super Over,Winning Team,Won By,Margin,Method,Player of Match,Team 1 Players,Team 2 Players,Umpire 1,Umpire 2
Mumbai,2015,2015,April,Friday,12,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,bat,N,Chennai Super Kings,Wickets,6.0,NA,A Nehra,"['LMP Simmons', 'PA Patel', 'CJ Anderson', 'RG Sharma', 'Harbhajan Singh', 'KA Pollard', 'AT Rayudu', 'J Suchith', 'R Vinay Kumar', 'SL Malinga', 'P Suyal']","['DR Smith', 'BB McCullum', 'SK Raina', 'F du Plessis', 'MS Dhoni', 'DJ Bravo', 'RA Jadeja', 'R Ashwin', 'MM Sharma', 'IC Pandey', 'A Nehra']",AK Chaudhary,M Erasmus
Visakhapatnam,2015,2015,April,Thursday,11,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,field,N,Rajasthan Royals,Wickets,6.0,NA,AM Rahane,"['DA Warner', 'S Dhawan', 'KL Rahul', 'NV Ojha', 'EJG Morgan', 'RS Bopara', 'A Ashish Reddy', 'KV Sharma', 'P Kumar', 'B Kumar', 'TA Boult']","['AM Rahane', 'SV Samson', 'SPD Smith', 'KK Nair', 'STR Binny', 'JP Faulkner', 'DJ Hooda', 'CH Morris', 'TG Southee', 'DS Kulkarni', 'PV Tambe']",PG Pathak,S Ravi
Pune,2015,2015,April,Wednesday,10,Kings XI Punjab,Delhi Daredevils,Maharashtra Cricket Association Stadium,Kings XI Punjab,bat,N,Delhi Daredevils,Wickets,5.0,NA,MA Agarwal,"['M Vijay', 'V Sehwag', 'WP Saha', 'DA Miller', 'GJ Maxwell', 'GJ Bailey', 'AR Patel', 'R Dhawan', 'MG Johnson', 'Anureet Singh', 'Sandeep Sharma']","['MA Agarwal', 'SS Iyer', 'JP Duminy', 'Yuvraj Singh', 'AD Mathews', 'KM Jadhav', 'MK Tiwary', 'NM Coulter-Nile', 'A Mishra', 'Imran Tahir', 'DJ Muthuswami']",CB Gaffaney,K Srinath
Ahmedabad,2015,2015,April,Tuesday,9,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Mumbai Indians,bat,N,Rajasthan Royals,Wickets,7.0,NA,SPD Smith,"['AM Rahane', 'SV Samson', 'SPD Smith', 'DJ Hooda', 'JP Faulkner', 'KK Nair', 'STR Binny', 'CH Morris', 'TG Southee', 'DS Kulkarni', 'PV Tambe']","['AJ Finch', 'PA Patel', 'UBT Chand', 'RG Sharma', 'CJ Anderson', 'KA Pollard', 'J Suchith', 'S Gopal', 'SL Malinga', 'R Vinay Kumar', 'P Suyal']",AK Chaudhary,SD Fry
Bangalore,2015,2015,April,Monday,8,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,8.0,NA,DA Warner,"['CH Gayle', 'V Kohli', 'KD Karthik', 'AB de Villiers', 'Mandeep Singh', 'DJG Sammy', 'SA Abbott', 'HV Patel', 'AN Ahmed', 'VR Aaron', 'YS Chahal']","['DA Warner', 'S Dhawan', 'KS Williamson', 'KL Rahul', 'NV Ojha', 'RS Bopara', 'A Ashish Reddy', 'KV Sharma', 'P Kumar', 'B Kumar', 'TA Boult']",RM Deshpande,RK Illingworth
Mumbai,2015,2015,April,Sunday,7,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,field,N,Kings XI Punjab,Runs,18.0,NA,GJ Bailey,"['RG Sharma', 'AJ Finch', 'AP Tare', 'AT Rayudu', 'CJ Anderson', 'KA Pollard', 'J Suchith', 'Harbhajan Singh', 'R Vinay Kumar', 'SL Malinga', 'P Suyal']","['M Vijay', 'V Sehwag', 'GJ Maxwell', 'DA Miller', 'GJ Bailey', 'R Dhawan', 'MG Johnson', 'WP Saha', 'AR Patel', 'Anureet Singh', 'Sandeep Sharma']",AK Chaudhary,K Srinivasan
Delhi,2015,2015,April,Sunday,6,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,field,N,Rajasthan Royals,Wickets,3.0,NA,DJ Hooda,"['MA Agarwal', 'SS Iyer', 'JP Duminy', 'Yuvraj Singh', 'AD Mathews', 'MK Tiwary', 'KM Jadhav', 'NM Coulter-Nile', 'A Mishra', 'Imran Tahir', 'JD Unadkat']","['AM Rahane', 'SV Samson', 'SPD Smith', 'KK Nair', 'STR Binny', 'DJ Hooda', 'JP Faulkner', 'CH Morris', 'TG Southee', 'DS Kulkarni', 'PV Tambe']",SD Fry,CB Gaffaney
Kolkata,2015,2015,April,Saturday,5,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,3.0,NA,CH Gayle,"['RV Uthappa', 'G Gambhir', 'MK Pandey', 'SA Yadav', 'YK Pathan', 'AD Russell', 'Shakib Al Hasan', 'PP Chawla', 'SP Narine', 'KC Cariappa', 'M Morkel']","['CH Gayle', 'V Kohli', 'KD Karthik', 'Mandeep Singh', 'AB de Villiers', 'DJG Sammy', 'SA Abbott', 'HV Patel', 'AN Ahmed', 'YS Chahal', 'VR Aaron']",S Ravi,C Shamshuddin
Chennai,2015,2015,April,Saturday,4,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,N,Chennai Super Kings,Runs,45.0,NA,BB McCullum,"['DR Smith', 'BB McCullum', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'DJ Bravo', 'F du Plessis', 'R Ashwin', 'MM Sharma', 'IC Pandey', 'A Nehra']","['DA Warner', 'S Dhawan', 'KL Rahul', 'NV Ojha', 'RS Bopara', 'KS Williamson', 'KV Sharma', 'Parvez Rasool', 'B Kumar', 'I Sharma', 'TA Boult']",RK Illingworth,VA Kulkarni
Pune,2015,2015,April,Friday,3,Kings XI Punjab,Rajasthan Royals,Maharashtra Cricket Association Stadium,Kings XI Punjab,field,N,Rajasthan Royals,Runs,26.0,NA,JP Faulkner,"['V Sehwag', 'M Vijay', 'WP Saha', 'GJ Maxwell', 'AR Patel', 'DA Miller', 'GJ Bailey', 'MG Johnson', 'Anureet Singh', 'Karanveer Singh', 'Sandeep Sharma']","['AM Rahane', 'SV Samson', 'SPD Smith', 'KK Nair', 'STR Binny', 'DJ Hooda', 'JP Faulkner', 'CH Morris', 'TG Southee', 'DS Kulkarni', 'PV Tambe']",SD Fry,CB Gaffaney
Chennai,2015,2015,April,Thursday,2,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,field,N,Chennai Super Kings,Runs,1.0,NA,A Nehra,"['DR Smith', 'BB McCullum', 'SK Raina', 'F du Plessis', 'RA Jadeja', 'MS Dhoni', 'DJ Bravo', 'R Ashwin', 'MM Sharma', 'IC Pandey', 'A Nehra']","['MA Agarwal', 'CM Gautam', 'JA Morkel', 'SS Iyer', 'KM Jadhav', 'Yuvraj Singh', 'JP Duminy', 'NM Coulter-Nile', 'A Mishra', 'Imran Tahir', 'DJ Muthuswami']",RK Illingworth,VA Kulkarni
Kolkata,2015,2015,April,Wednesday,1,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,7.0,NA,M Morkel,"['RV Uthappa', 'G Gambhir', 'MK Pandey', 'SA Yadav', 'YK Pathan', 'Shakib Al Hasan', 'AD Russell', 'PP Chawla', 'SP Narine', 'UT Yadav', 'M Morkel']","['RG Sharma', 'AJ Finch', 'AP Tare', 'AT Rayudu', 'CJ Anderson', 'KA Pollard', 'Harbhajan Singh', 'SL Malinga', 'R Vinay Kumar', 'JJ Bumrah', 'PP Ojha']",S Ravi,C Shamshuddin
Bangalore,2014,2014,June,Sunday,Final,Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,3.0,NA,MK Pandey,"['RV Uthappa', 'G Gambhir', 'MK Pandey', 'YK Pathan', 'Shakib Al Hasan', 'RN ten Doeschate', 'SA Yadav', 'PP Chawla', 'SP Narine', 'M Morkel', 'UT Yadav']","['V Sehwag', 'M Vohra', 'GJ Bailey', 'WP Saha', 'GJ Maxwell', 'DA Miller', 'AR Patel', 'MG Johnson', 'L Balaji', 'Karanveer Singh', 'P Awana']",HDPK Dharmasena,BNJ Oxenford
Mumbai,2014,2014,May,Friday,Qualifier 2,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,field,N,Kings XI Punjab,Runs,24.0,NA,V Sehwag,"['DR Smith', 'F du Plessis', 'SK Raina', 'BB McCullum', 'RA Jadeja', 'DJ Hussey', 'MS Dhoni', 'R Ashwin', 'MM Sharma', 'IC Pandey', 'A Nehra']","['V Sehwag', 'M Vohra', 'GJ Maxwell', 'DA Miller', 'GJ Bailey', 'WP Saha', 'MG Johnson', 'AR Patel', 'Karanveer Singh', 'Sandeep Sharma', 'P Awana']",HDPK Dharmasena,RJ Tucker
Mumbai,2014,2014,May,Wednesday,Eliminator,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,Chennai Super Kings,field,N,Chennai Super Kings,Wickets,7.0,NA,SK Raina,"['DR Smith', 'F du Plessis', 'SK Raina', 'BB McCullum', 'DJ Hussey', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'MM Sharma', 'IC Pandey', 'A Nehra']","['LMP Simmons', 'MEK Hussey', 'CJ Anderson', 'RG Sharma', 'KA Pollard', 'AT Rayudu', 'AP Tare', 'Harbhajan Singh', 'P Kumar', 'PP Ojha', 'JJ Bumrah']",VA Kulkarni,BNJ Oxenford
Kolkata,2014,2014,May,Tuesday,Qualifier 1,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,field,N,Kolkata Knight Riders,Runs,28.0,NA,UT Yadav,"['V Sehwag', 'M Vohra', 'WP Saha', 'GJ Maxwell', 'DA Miller', 'AR Patel', 'GJ Bailey', 'R Dhawan', 'MG Johnson', 'Karanveer Singh', 'P Awana']","['RV Uthappa', 'G Gambhir', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'RN ten Doeschate', 'SA Yadav', 'PP Chawla', 'SP Narine', 'M Morkel', 'UT Yadav']",NJ Llong,S Ravi
